dataset_id,model,condition,sample_fraction,chain,AUROC_mean,AUROC_median,AUROC_std,AUROC_count,AUPRC_mean,AUPRC_median,AUPRC_std,AUPRC_count,balanced_accuracy_mean,balanced_accuracy_median,balanced_accuracy_std,balanced_accuracy_count,F1_mean,F1_median,F1_std,F1_count,Brier_mean,Brier_median,Brier_std,Brier_count,calibration_intercept_mean,calibration_intercept_median,calibration_intercept_std,calibration_intercept_count,calibration_slope_mean,calibration_slope_median,calibration_slope_std,calibration_slope_count,dataset_name
D001,gradient_boosted_trees,C0,0.5,0,0.9715119443420143,0.9710703812316716,0.015844423572552644,6,0.9686666100105144,0.9684699032475879,0.014302988109137708,6,0.9262143396539585,0.9286620938041257,0.034846200050101875,6,0.9001886714352058,0.8957219251336899,0.038895543382106226,6,0.05160975132108394,0.051914556716473964,0.01530955889615142,6,-0.11651552188705074,-0.017892819559217586,0.8818687161152939,6,0.570103152167752,0.5262229017506997,0.2812609737784361,6,Breast Cancer Wisconsin Diagnostic
D001,gradient_boosted_trees,C0,0.75,0,0.9910125847797563,0.9910135378232312,0.006084590681405153,6,0.9896891149552944,0.9896866196614105,0.005989101246315244,6,0.953464604061253,0.949750830564784,0.024087219241472717,6,0.9371196200670971,0.9395652173913043,0.03446600436688725,6,0.03065078343540827,0.028154869251602918,0.01344027793469624,6,-0.5959668609007492,-0.3080631575434747,2.3944539470691995,6,1.1478985284375505,0.6142068634870839,1.2671959137509863,6,Breast Cancer Wisconsin Diagnostic
D001,gradient_boosted_trees,C0,1.0,PRIMARY,0.9903848422094965,0.9926141456298878,0.008655687346545761,6,0.989047603485132,0.9910990999474083,0.007734459880600479,6,0.9589391714826879,0.9615739507980887,0.013161350447999553,6,0.9472362351038822,0.9484797297297297,0.01852505141387667,6,0.029931299075937556,0.025677173714871684,0.014024275793171042,6,0.07375694568503845,0.06446160948697494,0.672357105663784,6,0.674675244957891,0.530551900729234,0.4312593552813743,6,Breast Cancer Wisconsin Diagnostic
D001,gradient_boosted_trees,C1,1.0,PRIMARY,0.9805128205128205,0.9805128205128205,,1,0.9798328238177862,0.9798328238177862,,1,0.9487179487179487,0.9487179487179487,,1,0.9459459459459459,0.9459459459459459,,1,0.0259325595866277,0.0259325595866277,,1,0.6980137924320565,0.6980137924320565,,1,0.6578171582727305,0.6578171582727305,,1,Breast Cancer Wisconsin Diagnostic
D001,gradient_boosted_trees,C2,0.5,0,0.9815945945945945,0.9815945945945945,0.0006497737989281879,2,0.9776778724706684,0.9776778724706684,0.0038787907600985215,2,0.9524324324324325,0.9524324324324325,0.013951025682869815,2,0.9383186413666019,0.9383186413666019,0.028912528878637208,2,0.04175522330386903,0.04175522330386903,0.01685665997616542,2,0.13707770603933003,0.13707770603933003,0.33304868182546654,2,0.766124954991076,0.766124954991076,0.29636410193251744,2,Breast Cancer Wisconsin Diagnostic
D001,gradient_boosted_trees,C2,0.75,0,0.9887052144458757,0.9887052144458757,0.0028505568918592854,2,0.985894161888589,0.985894161888589,0.002917764769481551,2,0.9652628691379228,0.9652628691379228,0.009993816322051268,2,0.9557282177687279,0.9557282177687279,0.007866004060354093,2,0.0292628904651564,0.0292628904651564,0.00550116510748668,2,-0.09706169370356112,-0.09706169370356112,0.0350291258244792,2,0.5367497294396815,0.5367497294396815,0.021177777647493713,2,Breast Cancer Wisconsin Diagnostic
D001,gradient_boosted_trees,C2,1.0,PRIMARY,0.9881216637598436,0.9881216637598436,0.0008782310320746366,2,0.9869764112441943,0.9869764112441943,0.001144139245600109,2,0.9631097722107711,0.9631097722107711,0.004951728159569643,2,0.9539883800028994,0.9539883800028994,0.007964246194488971,2,0.028809071330242294,0.028809071330242294,0.0035773415931970066,2,-0.11226710829119824,-0.11226710829119824,0.15383551689987224,2,0.6889515374272359,0.6889515374272359,0.021578807776079182,2,Breast Cancer Wisconsin Diagnostic
D001,gradient_boosted_trees,C3,0.5,0,0.9752279332488974,0.9722580645161291,0.017624165541907665,6,0.9741962004542466,0.9749312982768865,0.014125046189722965,6,0.9228853019082489,0.936487428489015,0.0347443054270708,6,0.8973748196552284,0.9078787878787878,0.039184405316270814,6,0.04733350406532599,0.04348861322440674,0.01438071794903605,6,-0.42034013916600826,-0.13180441199151377,1.1430054202765916,6,1.087132807570886,0.8363323511603011,0.8750037447895452,6,Breast Cancer Wisconsin Diagnostic
D001,gradient_boosted_trees,C3,0.75,0,0.9867453556334257,0.9841521883727895,0.008639224107244865,6,0.9835384191577559,0.9822070094064264,0.010485781128753948,6,0.944050572362315,0.9367359500477096,0.021102269740947442,6,0.9247965876383525,0.9276106855968616,0.021463200036082077,6,0.04092732492973037,0.0438477910956946,0.017801049064032636,6,-0.46082226824130545,-0.33520266941736776,1.4395996803951554,6,1.0205023648647062,0.8202048018165186,0.7247058057764149,6,Breast Cancer Wisconsin Diagnostic
D001,gradient_boosted_trees,C3,1.0,PRIMARY,0.9913228184903885,0.9931369923146534,0.007132432989106475,6,0.9891864810569989,0.9912387185897977,0.008229768195839857,6,0.9562230138637386,0.9581955724197103,0.012393080634731974,6,0.9399866186277257,0.9409722222222222,0.01752070279379966,6,0.02870160968129995,0.02884814180524056,0.01431731619595699,6,0.07160083504654689,0.07695984778197804,0.3427577534425253,6,0.6740276069295706,0.6347963797392719,0.30229291754743876,6,Breast Cancer Wisconsin Diagnostic
