condition,aggregation,datasets,median_delta_AUROC,ci95_low,ci95_high
C2,Mean fold aggregation,14,0.0042571592114257015,0.00015328492738767943,0.010260974720606367
C2,Median fold aggregation,14,0.0033578225175245153,-0.0015825532331907193,0.010105110269144308
C3,Mean fold aggregation,14,-0.0008853982333427157,-0.0036255822028753992,0.00038148428007559837
C3,Median fold aggregation,14,-0.001279870771571064,-0.0039590632764935725,0.0009624169489865776
C4,Mean fold aggregation,14,-0.00018649212228660783,-0.006441490397083083,0.002015908972436383
C4,Median fold aggregation,14,-0.0005577723352174397,-0.005137319447453252,0.0072179203767672355
C5,Mean fold aggregation,14,0.022572046440147674,0.008188473653043945,0.0828468587525869
C5,Median fold aggregation,14,0.024777079019080127,0.00635562440059001,0.09897336151177127
