sample_fraction,condition,datasets,median_delta_AUROC
0.5,C2,21,0.0013967297592376582
0.5,C3,21,-0.0002578485607608316
0.5,C4,21,0.00014941934474343999
0.5,C5,21,0.014405734713667906
0.75,C2,39,0.0064601728368473
0.75,C3,39,0.0005521253415324834
0.75,C4,39,0.00044312169312166194
0.75,C5,39,0.02445639912827602
1.0,C2,14,0.0042571592114257015
1.0,C3,14,-0.0008853982333427157
1.0,C4,14,-0.00018649212228660783
1.0,C5,14,0.022572046440147674
