dataset_id,dataset_name,model,condition,reference_AUROC,apparent_AUROC,delta_AUROC,delta_median_AUROC,reference_AUPRC,apparent_AUPRC,delta_AUPRC,delta_median_AUPRC,reference_balanced_accuracy,apparent_balanced_accuracy,delta_balanced_accuracy,delta_median_balanced_accuracy,reference_F1,apparent_F1,delta_F1,delta_median_F1,reference_Brier,apparent_Brier,delta_Brier,delta_median_Brier,reference_calibration_intercept,apparent_calibration_intercept,delta_calibration_intercept,delta_median_calibration_intercept,reference_calibration_slope,apparent_calibration_slope,delta_calibration_slope,delta_median_calibration_slope
D001,Breast Cancer Wisconsin Diagnostic,gradient_boosted_trees,C2,0.9903848422094965,0.9881216637598436,-0.0022631784496529583,-0.0044924818700442515,0.989047603485132,0.9869764112441943,-0.002071192240937658,-0.0041226887032139725,0.9589391714826879,0.9631097722107711,0.004170600728083174,0.001535821412682381,0.9472362351038822,0.9539883800028994,0.0067521448990172095,0.005508650273169713,0.029931299075937556,0.028809071330242294,-0.0011222277456952624,0.00313189761537061,0.07375694568503845,-0.11226710829119824,-0.18602405397623667,-0.17672871777817317,0.674675244957891,0.6889515374272359,0.01427629246934492,0.15839963669800194
D001,Breast Cancer Wisconsin Diagnostic,gradient_boosted_trees,C3,0.9903848422094965,0.9913228184903885,0.0009379762808919834,0.0005228466847655433,0.989047603485132,0.9891864810569989,0.0001388775718669244,0.00013961864238942745,0.9589391714826879,0.9562230138637386,-0.0027161576189492775,-0.0033783783783783994,0.9472362351038822,0.9399866186277257,-0.007249616476156517,-0.007507507507507505,0.029931299075937556,0.02870160968129995,-0.0012296893946376064,0.0031709680903688753,0.07375694568503845,0.07160083504654689,-0.002156110638491554,0.0124982382950031,0.674675244957891,0.6740276069295706,-0.000647638028320352,0.10424447901003797
D001,Breast Cancer Wisconsin Diagnostic,gradient_boosted_trees,C4,0.9903848422094965,0.9861356199946685,-0.004249222214828041,-0.004037261736233644,0.989047603485132,0.9816659155492732,-0.007381687935858805,-0.008080410975555119,0.9589391714826879,0.9393636061342256,-0.019575565348462276,-0.02752288109484513,0.9472362351038822,0.9188209561637554,-0.028415278940126854,-0.030686936936936915,0.029931299075937556,0.04628907321451448,0.016357774138576926,0.019405759005801226,0.07375694568503845,-0.24850825496835915,-0.3222652006533976,-0.2826672034121145,0.674675244957891,0.594467571530651,-0.08020767342724,0.050045503032009164
D001,Breast Cancer Wisconsin Diagnostic,gradient_boosted_trees,C5,0.9903848422094965,0.9955087263876582,0.005123884178161675,0.00479275787225375,0.989047603485132,0.994304949897045,0.005257346411913,0.0048797562686522244,0.9589391714826879,0.976677059274163,0.017737887791475115,0.02081669107531181,0.9472362351038822,0.9687797905960215,0.021543555492139266,0.029316188637617202,0.029931299075937556,0.021593166051745716,-0.00833813302419184,-0.008148413188037617,0.07375694568503845,-1.9019707010613685,-1.9757276467464069,-0.82136891760876,0.674675244957891,1.1486817295049991,0.47400648454710814,0.4411334702360644
D001,Breast Cancer Wisconsin Diagnostic,logistic_regression,C2,0.9925440230083615,0.9920656942022092,-0.0004783288061522839,-0.003101142336693341,0.9910639039446628,0.9898314819455261,-0.0012324219991367569,-0.003984259911391064,0.9717228899282757,0.9657622482955446,-0.005960641632731134,-0.008374072899600238,0.9634621867289991,0.9535960378983634,-0.009866148830635635,-0.01279241236105455,0.028378314926302235,0.04657749656592296,0.018199181639620723,0.018746593500892264,-0.29999865599665265,-0.32889922920090964,-0.028900573204256985,-0.01709840334908791,2.0273581863582266,3.085063938844023,1.0577057524857962,1.1291159199107992
D001,Breast Cancer Wisconsin Diagnostic,logistic_regression,C3,0.9925440230083615,0.9914623401951879,-0.0010816828131736678,-0.0016113969717712617,0.9910639039446628,0.9895006914953249,-0.0015632124493378807,-0.002461860588220399,0.9717228899282757,0.9625891634770003,-0.009133726451275415,-0.009697128307676106,0.9634621867289991,0.9511990964998521,-0.012263090229146956,-0.013831000296482543,0.028378314926302235,0.03420884182211418,0.0058305268958119445,0.008857194323906872,-0.29999865599665265,-0.2613881209910096,0.03861053500564304,-0.023267712432369803,2.0273581863582266,2.15520751021671,0.12784932385848347,0.36545382904024715
D001,Breast Cancer Wisconsin Diagnostic,logistic_regression,C4,0.9925440230083615,0.987633344504558,-0.004910678503803556,-0.004935929361216784,0.9910639039446628,0.9822201696739586,-0.008843734270704173,-0.010944085898975109,0.9717228899282757,0.9326986251112878,-0.03902426481698795,-0.04139995128486185,0.9634621867289991,0.915076456650036,-0.048385730078963074,-0.05030453417550196,0.028378314926302235,0.041929011354655155,0.01355069642835292,0.009638542969031563,-0.29999865599665265,-0.526750406304696,-0.2267517503080434,-0.15135049192484956,2.0273581863582266,1.0201562782762679,-1.0072019080819588,-0.9901774058241477
D001,Breast Cancer Wisconsin Diagnostic,logistic_regression,C5,0.9925440230083615,0.9932139399517695,0.000669916943408011,-0.0022683077231895332,0.9910639039446628,0.991037069598276,-2.6834346386839236e-05,-0.0035193003527169697,0.9717228899282757,0.9592277005038756,-0.012495189424400088,-0.01739028944911314,0.9634621867289991,0.9472172872462643,-0.016244899482734776,-0.020172234043201787,0.028378314926302235,0.029121560711112604,0.0007432457848103695,0.0018011445498018405,-0.29999865599665265,-0.41979674245187976,-0.1197980864552271,-0.28809764245417185,2.0273581863582266,1.2821357704355112,-0.7452224159227154,-0.9324583735345608
D001,Breast Cancer Wisconsin Diagnostic,random_forest,C2,0.9891365894893459,0.9890696844775647,-6.690501178119312e-05,-0.003210931472519163,0.9865141396705001,0.9864154148127928,-9.872485770723305e-05,-0.0013311601544474527,0.9495873929044057,0.9573225516621743,0.007735158757768534,0.008885553377305788,0.9329917659845327,0.9422632794457275,0.009271513461194814,0.010290490330081226,0.033770184209734606,0.03538569861202555,0.001615514402290942,0.0027718481080686933,-0.24557436605792304,-0.12494775912512938,0.12062660693279366,0.13252590593282426,1.6595279351203782,1.4677898552749469,-0.19173807984543134,0.010297293487745884
D001,Breast Cancer Wisconsin Diagnostic,random_forest,C3,0.9891365894893459,0.9904247488618544,0.0012881593725084794,0.001080432172869017,0.9865141396705001,0.9880617463100964,0.0015476066395962995,0.0022308968673220297,0.9495873929044057,0.955572882389935,0.005985489485529238,0.0116768733507423,0.9329917659845327,0.9427059542335657,0.009714188249033029,0.014228761271950607,0.033770184209734606,0.03192236888909659,-0.0018478153206380188,-0.003323944012116782,-0.24557436605792304,-0.09142083912903341,0.15415352692888962,0.06811871006703779,1.6595279351203782,1.7037432852823298,0.04421535016195155,0.166751517747473
