dataset_id,display_index,dataset_name,condition,sample_fraction,delta_AUROC
D013,Dataset 09,Early Stage Diabetes Risk Prediction,C3,0.75,-0.0011387869855627331
D013,Dataset 09,Early Stage Diabetes Risk Prediction,C3,1.0,-0.00014620003585886663
D013,Dataset 09,Early Stage Diabetes Risk Prediction,C4,0.5,-0.0020821177256323997
D013,Dataset 09,Early Stage Diabetes Risk Prediction,C4,0.75,-0.0034317376507176332
D013,Dataset 09,Early Stage Diabetes Risk Prediction,C4,1.0,0.0009103447727780998
D013,Dataset 09,Early Stage Diabetes Risk Prediction,C5,0.5,0.029815802801970836
D013,Dataset 09,Early Stage Diabetes Risk Prediction,C5,0.75,0.030358614432340197
D013,Dataset 09,Early Stage Diabetes Risk Prediction,C5,1.0,0.019522358301532202
D014,Dataset 10,Diabetic Retinopathy Debrecen,C2,0.5,-0.0057685949167439006
D014,Dataset 10,Diabetic Retinopathy Debrecen,C2,0.75,0.012162438170991267
D014,Dataset 10,Diabetic Retinopathy Debrecen,C2,1.0,0.0046306535186048
D014,Dataset 10,Diabetic Retinopathy Debrecen,C3,0.5,0.0013666514353347333
D014,Dataset 10,Diabetic Retinopathy Debrecen,C3,0.75,0.002664249887771633
D014,Dataset 10,Diabetic Retinopathy Debrecen,C3,1.0,0.0025707115061644
D014,Dataset 10,Diabetic Retinopathy Debrecen,C4,0.5,-0.005783071972102167
D014,Dataset 10,Diabetic Retinopathy Debrecen,C4,0.75,0.006283302220254417
D014,Dataset 10,Diabetic Retinopathy Debrecen,C4,1.0,0.002015908972436333
D014,Dataset 10,Diabetic Retinopathy Debrecen,C5,0.5,-0.0005414846684929333
D014,Dataset 10,Diabetic Retinopathy Debrecen,C5,0.75,0.02491709071346197
D014,Dataset 10,Diabetic Retinopathy Debrecen,C5,1.0,0.0124731736904206
D015,Dataset 11,Thoracic Surgery Data,C2,0.75,-0.004278163218044101
D015,Dataset 11,Thoracic Surgery Data,C2,1.0,0.015017950757916168
D015,Dataset 11,Thoracic Surgery Data,C3,0.75,-0.0096735555099711
D015,Dataset 11,Thoracic Surgery Data,C3,1.0,0.004975985787583701
D015,Dataset 11,Thoracic Surgery Data,C4,0.75,0.010775822705997066
D015,Dataset 11,Thoracic Surgery Data,C4,1.0,-0.008427411573804834
D015,Dataset 11,Thoracic Surgery Data,C5,0.75,0.20047157721319717
D015,Dataset 11,Thoracic Surgery Data,C5,1.0,0.2603003006147823
D016,Dataset 12,Haberman's Survival,C2,0.75,0.057867488523560495
D016,Dataset 12,Haberman's Survival,C2,1.0,0.0171362458906451
D016,Dataset 12,Haberman's Survival,C3,0.75,0.01716173986866
D016,Dataset 12,Haberman's Survival,C3,1.0,-0.0040573482075274
D016,Dataset 12,Haberman's Survival,C4,0.75,0.058913740753783195
D016,Dataset 12,Haberman's Survival,C4,1.0,8.428364811866257e-06
D016,Dataset 12,Haberman's Survival,C5,0.75,0.11869916584672147
D016,Dataset 12,Haberman's Survival,C5,1.0,0.049839341418994036
D019,Dataset 13,Myocardial Infarction Complications,C2,0.5,0.009990584120325066
