"fitted","normalized_residual","dataset_id","condition","model"
0.0092862745554046,0.0269022214973547,"D001","C2","gradient_boosted_trees"
0.00467654442879902,-0.235922344856319,"D001","C2","gradient_boosted_trees"
0.00140309912908178,-0.123849851073692,"D001","C2","gradient_boosted_trees"
-0.00259397861212474,0.213155856512825,"D001","C3","gradient_boosted_trees"
-0.00410924914313403,-0.00533669353951552,"D001","C3","gradient_boosted_trees"
-0.00518526770849522,0.206848183174174,"D001","C3","gradient_boosted_trees"
0.00308944625909348,0.03892418821607,"D001","C4","gradient_boosted_trees"
-0.004060245154788,-0.0583690761386778,"D001","C4","gradient_boosted_trees"
-0.00913735880578451,0.165125246470499,"D001","C4","gradient_boosted_trees"
0.0297531557408939,-0.271802876486094,"D001","C5","gradient_boosted_trees"
0.0331284935231893,-0.990251828965402,"D001","C5","gradient_boosted_trees"
0.0355253764848713,-1.02698724080337,"D001","C5","gradient_boosted_trees"
0.00621522588180034,-0.207962936522759,"D001","C2","logistic_regression"
0.00160549575519476,-0.109248700147634,"D001","C2","logistic_regression"
-0.00166794954452248,0.0401863601752116,"D001","C2","logistic_regression"
0.00023628969859537,-0.0571847543447304,"D001","C3","logistic_regression"
-0.00127898083241392,-0.0057165890090087,"D001","C3","logistic_regression"
-0.00235499939777511,0.0430136742202115,"D001","C3","logistic_regression"
0.00873478666639393,-0.66851578555561,"D001","C4","logistic_regression"
0.00158509525251244,-0.240400248328405,"D001","C4","logistic_regression"
-0.00349201839848406,-0.0479234970606453,"D001","C4","logistic_regression"
-0.0204443608146953,0.760427604660027,"D001","C5","logistic_regression"
-0.0170690230323998,0.644282245413904,"D001","C5","logistic_regression"
-0.0146721400707178,0.518267216695401,"D001","C5","logistic_regression"
0.00263965998908111,0.0860911046937096,"D001","C2","random_forest"
-0.00197007013752447,0.114989562269396,"D001","C2","random_forest"
-0.00524351543724171,0.174870128213553,"D001","C2","random_forest"
-0.00526271027729955,0.37523858189983,"D001","C3","random_forest"
-0.00677798080830884,0.322850373583351,"D001","C3","random_forest"
-0.00785399937367003,0.308829589383415,"D001","C3","random_forest"
-0.00076446568950616,0.166927880530341,"D001","C4","random_forest"
-0.00791415710338765,0.235216523798719,"D001","C4","random_forest"
-0.0129912707543842,0.366623127919643,"D001","C4","random_forest"
