hypothesis,moderator,condition,datasets,spearman_rho,ci95_low,ci95_high,permutation_p
H4,feature_to_sample_ratio,C2,14,0.01978021978021978,-0.6830357142857143,0.6045165516198918,0.9544809103817924
H4,feature_to_sample_ratio,C3,14,0.015384615384615385,-0.5325842696629214,0.5955769805680114,0.9654606907861842
H4,feature_to_sample_ratio,C4,14,0.0989010989010989,-0.5775517710485211,0.6756906573979742,0.7384852302953941
H4,feature_to_sample_ratio,C5,14,0.0857142857142857,-0.5600134529147981,0.6523897769100927,0.7757444851102978
H5,minority_prevalence,C2,14,-0.1252747252747253,-0.6837652240213486,0.4831498210755486,0.6699666006679866
H5,minority_prevalence,C3,14,0.37142857142857144,-0.3095323938597981,0.8194243010337868,0.19207615847683046
H5,minority_prevalence,C4,14,-0.02417582417582418,-0.6363941427699817,0.6778561536471412,0.9400611987760245
H5,minority_prevalence,C5,14,-0.7538461538461538,-0.9638846521465031,-0.38248095920368097,0.002879942401151977
