condition,matched_datasets,median_slope_per_log_fraction,ci95_low,ci95_high
C2,7,-0.009112310463045933,-0.013234985466764717,0.01565413977164292
C3,7,0.0008903030158807966,-0.005613085724565949,0.0031662769395400343
C4,7,-0.004411943172921245,-0.032543115772155545,0.00381538152561693
C5,7,2.2170696510009884e-05,-0.01378773730894842,0.0031536940157979227
