condition,contrast,datasets,median_difference,ci95_low,ci95_high
C2,Gradient-boosted trees minus logistic regression,14,0.0022090351830123508,-0.0018239983832855,0.007634784286643051
C2,Random forest minus logistic regression,14,0.00021267683106075653,-0.0074821436031775,0.0054847265601625
C3,Gradient-boosted trees minus logistic regression,14,-0.003450414174856,-0.01046070639201225,0.0008050451855998926
C3,Random forest minus logistic regression,14,-0.0009234498569059002,-0.0070681812739121,0.0010526464347174998
C4,Gradient-boosted trees minus logistic regression,14,0.00029696976958719997,-0.0064241302417867,0.00708132909126165
C4,Random forest minus logistic regression,14,-0.00233467012836775,-0.0098530461409008,0.0022569682624417
C5,Gradient-boosted trees minus logistic regression,14,0.021368862705658652,0.0044539672347536,0.10430171688931711
C5,Random forest minus logistic regression,14,0.0108868571679238,0.0021799573167439502,0.07266395957675906
